from;to
68014;HO M Opleiding tot leraar voortgezet onderwijs van de eerste graad in Russisch
68017;HO M Leraar voortgezet onderwijs van de eerste graad in het vak Godsdienst en Levensbeschouwelijke Vorming
68034;HO M Opleiding tot leraar voortgezet onderwijs van de eerste graad in Geschiedenis
68040;HO M Opleiding tot leraar voortgezet onderwijs van de eerste graad in Hebreeuws
68041;HO M Opleiding tot leraar voortgezet onderwijs van de eerste graad in Latijn en Klassieke en Culturele Vorming
68074;HO M Opleiding tot leraar voortgezet onderwijs van de eerste graad in Bijbelkennis en Cultuurgeschiedenis van het Christendom
68075;HO M Opleiding tot leraar voortgezet onderwijs van de eerste graad in Godsdienst en Levensbeschouwing
68076;HO M Lerarenopleiding Informatica
68081;HO M Opleiding tot leraar voortgezet onderwijs van de eerste graad in Filosofie
68151;HO M Opleiding tot leraar voortgezet onderwijs van de eerste graad in Wiskunde
68155;HO M Opleiding tot leraar voortgezet onderwijs van de eerste graad in Natuurkunde
68156;HO M Opleiding tot leraar voortgezet onderwijs van de eerste graad in Scheikunde
68161;HO M Opleiding tot leraar voortgezet onderwijs van de eerste graad in Biologie
68176;HO M Opleiding tot leraar voortgezet onderwijs van de eerste graad in Aardrijkskunde
68401;HO M Opleiding tot leraar voortgezet onderwijs van de eerste graad in Algemene Economie
68403;HO M Opleiding tot leraar voortgezet onderwijs van de eerste graad in Bedrijfseconomie
68404;HO M Science Education and Communication
68500;HO M Leraar Voorbereidend Hoger Onderwijs in Aardrijkskunde
68501;HO M Leraar Voorbereidend Hoger Onderwijs in Algemene Economie
68502;HO M Leraar Voorbereidend Hoger Onderwijs in Biologie
68503;HO M Leraar Voorbereidend Hoger Onderwijs in Duits
68504;HO M Leraar Voorbereidend Hoger Onderwijs in Engels
68505;HO M Leraar Voorbereidend Hoger Onderwijs in Filosofie
68506;HO M Leraar Voorbereidend Hoger Onderwijs in Geschiedenis en Staatsinrichting
68507;HO M Leraar Voorbereidend Hoger Onderwijs in Godsdienst en Levensbeschouwing
68508;HO M Leraar Voorbereidend Hoger Onderwijs in Kunstgeschiedenis en Culturele en Kunstzinnige Vorming/Kunst Algemeen
68509;HO M Leraar Voorbereidend Hoger Onderwijs in Maatschappijleer en Maatschappijwetenschappen
68510;HO M Leraar Voorbereidend Hoger Onderwijs in Muziek
68511;HO M Leraar Voorbereidend Hoger Onderwijs in Natuurkunde
68512;HO M Leraar Voorbereidend Hoger Onderwijs in Nederlands
68513;HO M Leraar Voorbereidend Hoger Onderwijs in Scheikunde
68514;HO M Leraar Voorbereidend Hoger Onderwijs in Spaans
68515;HO M Leraar Voorbereidend Hoger Onderwijs in Sterrenkunde
68516;HO M Leraar Voorbereidend Hoger Onderwijs in Wiskunde
68517;HO M Leraar Voorbereidend Hoger Onderwijs in Frans
68518;HO M Leraar Voorbereidend Hoger Onderwijs in Management en Organisatie
68519;HO M Leraar Voorbereidend Hoger Onderwijs in Griekse en Latijnse Taal en Cultuur
68520;HO M Leraar Voorbereidend Hoger Onderwijs in Latijnse Taal en Cultuur
68521;HO M Leraar Voorbereidend Hoger Onderwijs in Arabisch
68522;HO M Leraar Voorbereidend Hoger Onderwijs in Italiaans
68523;HO M Leraar Voorbereidend Hoger Onderwijs in Russisch
68524;HO M Leraar Voorbereidend Hoger Onderwijs in Hebreeuws
68527;HO M Leraar Voorbereidend Hoger Onderwijs in Fries
68528;HO M Leraar Voorbereidend Hoger Onderwijs in Turks
68529;HO M Educatieve master Geesteswetenschappen
68530;HO M Leraar Voorbereidend Hoger Onderwijs in de Taalvakken
68531;HO M Leraar Voorbereidend Hoger Onderwijs in Zaakvakken
68532;HO M Educatie in de Mens- en Maatschappijwetenschappen
68533;HO M Leraar Voorbereidend Hoger Onderwijs in de Betawetenschappen
68534;HO M Leraar Voorbereidend Hoger Onderwijs in de Taal- en cultuurwetenschappen
68535;HO M Leraar Voorbereidend Hoger Onderwijs in de Mens- en Maatschappijwetenschappen
68536;HO M Educatie in de Taal- en cultuurwetenschappen
68538;HO M Educatie en Communicatie in de Mens- en Maatschappijwetenschappen
68616;HO M Opleiding tot leraar voortgezet onderwijs van de eerste graad in maatschappijleer
68618;HO M Opleiding tot leraar voortgezet onderwijs van de eerste graad in Maatschappijleer
68710;HO M Opleiding tot leraar voortgezet onderwijs van de eerste graad in Kunstgeschiedenis
68713;HO M Biosciences
69298;HO M European Master in Sustainable Energy System Management
69299;HO M European Master in Renewable Energy
69300;HO M Organic Agriculture
69301;HO M Building Services
69302;HO M Law in Europe
69303;HO M European Studies
69304;HO M Moleculaire Levenswetenschappen
69305;HO M Forensic Psychology
69312;HO M European MSc in Occupational Therapy
69313;HO M Accounting, Auditing and Control
69314;HO M Conflict Resolution and Governance
69315;HO M Sustainability Science, Policy and Society
69317;HO M Musculoskeletal Physiotherapy Sciences
69319;HO M Environmental and Energy Management
69320;HO M Science, Business and Innovation
69321;HO M Philosophy, Politics and Economics
69323;HO M Military Technology, Processes and Systems (MTPS)
69324;HO M Genes in Behaviour and Health (research)
69331;HO M Law & Finance
69333;HO M Societal Resilience (research)
69342;HO M Medical Humanities: geesteswetenschappelijke en medische perspectieven op zorg en gezondheid
69343;HO M Imaging Engineering
69344;HO M Gegevensbescherming en Privacyrecht
69345;HO M Educatie in de Betawetenschappen
70000;MBOVakfunctionaris natuur en leefomgeving (basisberoepsopleiding)
70001;MBOVakfunctionaris natuur en leefomgeving (vakopleiding)
70002;MBOVormgever leefomgeving (middenkaderopleiding)
70003;MBOVerkoopspecialist (voedsel en leefomgeving) (vakopleiding)
70004;MBOAssistent medewerker voedsel en leefomgeving (assistentenopleiding)
70005;MBOMiddenkaderfunctionaris natuur en leefomgeving (middenkaderopleiding)
70006;MBOMedewerker natuur en leefomgeving (basisberoepsopleiding)
70007;MBOVakbekwaam medewerker natuur en leefomgeving (vakopleiding)
70008;MBOVakfunctionaris open teelt (vakopleiding)
70009;MBOVakfunctionaris bedekte teelt (vakopleiding)
70010;MBOAllround operator voedings- en genotmiddelenindustrie (vakopleiding)
70011;MBOTechnoloog voedingsindustrie (middenkaderopleiding)
70012;MBOAssistent voedingsindustrie (assistentenopleiding)
70013;MBOOperator (basisberoepsopleiding)
70014;MBOMiddenkaderfunctionaris plant (middenkaderopleiding)
70015;MBODierenhouder (middenkaderopleiding)
70016;HO M International Communication Management (post-initiele master)
70017;MBOGespecialiseerd dierverzorger (vakopleiding)
70018;HO M Stressmanagement en Reintegratie (post-initiele master)
70020;HO M Master in Consultancy and Entrepreneurship (post-initiele master)
70021;HO M Master in Finance and Accounting (post-initiele master)
70022;HO M Master in Logistics Management (post-initiele master)
70023;HO M Health Care and Social Work (post-initiele master)
70024;HO M Master of Business Administration (post-initiele master)
70025;HO M Arbeids- en Organisatiekunde (post-initiele master)
70026;HO M Human Resource Management (post-initiele master)
70027;HO M Master of Business Administration in International Business and Management (post-initiele master)
70028;HO M Executive Master of Business Administration (post-initiele master)
70029;HO M International Hospitality Management (post-initiele master)
70030;HO M International Leisure and Tourism Studies (post-initiele master)
70031;HO M International Retail Management (post-initiele master)
70032;HO M International Service Management (post-initiele master)
70033;HO M Construction Project Management (post-initiele master)
70034;HO M Control Systems Engineering (post-initiele master)
70035;HO M Information Systems Development (post-initiele master)
70036;HO M Management en Innovatie in Maatschappelijke organisaties (post-initiele master)
70037;HO M Advanced Nursing Practice (post-initiele master)
70038;HO M Museology (post-initiele master)
70039;HO M Business Administration MBA (post-initiele master)
70040;HO M International Business and Marketing Management (post-initiele master)
70041;HO M Financial Management (post-initiele master)
70042;HO M Corporate Governance (post-initiele master)
70043;HO M Applied Geoinformatics (post-initiele master)
70044;HO M Kunsteducatie (post-initiele master)
70045;HO M Integraal Leiderschap voor Schoolleiders PO, VO en BVE (post-initiele master)
70046;HO M Fysiotherapie (post-initiele master)
70047;HO M Public Health (post-initiele master)
70048;HO M International Health (post-initiele master)
70049;HO M Molecular Life Sciences (post-initiele master)
70050;HO M Informatics (post-initiele master)
70051;HO M Engineering (post-initiele master)
70052;HO M Real Estate (post-initiele master)
70053;HO M Distance Learning MBA (post-initiele master)
70054;HO M Executive MBA (post-initiele master)
70055;HO M Master of International Business (post-initiele master)
70056;HO M Project & Process Management in the Domain of Land and Water (post-initiele master)
70057;HO M Management of Development (post-initiele master)
70058;HO M Agricultural Production Chain Management (post-initiele master)
70059;HO M Bekkenfysiotherapie (post-initiele master)
70060;HO M Master of Financial Management and Control (post-initiele master)
70061;HO M Bedrijfskunde Zorg en Dienstverlening (post-initiele master)
70062;HO M Management van IT (post-initiele master)
70063;HO M Begeleidingskunde (post-initiele master)
70064;HO M Telecommunication Management (post-initiele master)
70065;HO M Psychomotorische Therapie (post-initiele master)
70066;HO M International Supply Chain Management (post-initiele master)
70067;HO M Tourism Destination Management (post-initiele master)
70068;HO M Shipping and Transport (post-initiele master)
70069;HO M Executive Master of Tactical Policing (post-initiele master)
70070;HO M Criminal Investigation (post-initiele master)
70071;HO M Executive Master of Security and Defence (post-initiele master)
70072;HO M Manuele Therapie (post-initiele master)
70073;HO M Imagineering, Master in Business Innovation from the Experience Perspective (post-initiele master)
70074;HO M Organisatie Coaching (post-initiele master)
70075;HO M Educational Management (post-initiele master)
70076;HO M Facility Management (post-initiele master)
70077;HO M Master in Leadership in Education (post-initiele master)
70078;HO M Kwaliteitsmanagement (post-initiele master)
70079;HO M Master of Studies in Real Estate (post-initiele master)
70080;HO M Master of Real Estate (post-initiele master)
70081;HO M Career Development (post-initiele master)
70082;HO M Zorgtraject Ontwerp (post-initiele master)
70083;HO M Master of Sports (post-initiele master)
70084;HO M Master of Health (post-initiele master)
70085;HO M Risicomanagement (post-initiele master)
70086;HO M Master of Urban and Area Development (post-initiele master)
70087;HO M Belastingadviseur (post-initiele master)
70088;HO M Master of International Applied Communication (post-initiele master)
70089;HO M Management, Cultuur en Verandering (post-initiele master)
70090;HO M Conflictmanagement (post-initiele master)
70091;HO M Journalistiek in een Crossmediale Nieuwsomgeving (post-initiele master)
70092;HO M Master in EurAsian Business and Management (post-initiele master)
70093;HO M Kinderfysiotherapie (post-initiele master)
70094;HO M Pensions (post-initiele master)
70095;HO M Master Scientific Illustration (post-initiele master)
70096;HO M Master of Pipeline Technology (post-initiele master)
70097;HO M Neurorevalidatie en Innovatie (post-initiele master)
70098;HO M Master in Controlling (post-initiele master)
70099;HO M Professional Master Manuele Therapie (post-initiele master)
70100;HO M Professional Master Bekkenfysiotherapie (post-initiele master)
70101;HO M Accounting and Auditing (post-initiele master)
70102;HO M Master of Arts Therapies (post-initiele master)
70103;HO M Personal Leadership in Innovation and Change (post-initiele master)
70104;HO M Master of Automotive Systems (post-initiele master)
70105;HO M Muziekprogrammering (post-initiele master)
70106;HO M Sociale Architectuur (post-initiele master)
70107;HO M Choreografie (post-initiele master)
70108;HO M Master Specialized Physical Therapy (post-initiele master)
70109;HO M Management of Education (post-initiele master)
70110;HO M Verpleegkundig Specialist / ANP GGZ (post-initiele master)
70111;HO M Fysiotherapie/Oefentherapie bij Mensen met Chronische Ziekten (post-initiele master)
70112;HO M Toegepaste Interdisciplinaire Vormgeving (post-initiele master)
70113;HO M Leren en Innoveren (post-initiele master)
70114;HO M Finance and Control (post-initiele master)
70115;HO M Musculoskeletaal (post-initiele master)
70116;HO M Human Resources Management (post-initiele master)
70117;HO M Project, Programme & Portfolio Management (post-initiele master)
70118;HO M Contextuele Benadering (post-initiele master)
70119;HO M Master of ICT and Business Innovation (post-initiele master)
70120;HO M Nature Conservation and Biodiversity Management (post-initiele master)
70121;HO M Urban and Regional Planning (post-initiele master)
70122;HO M Environmental Science (post-initiele master)
70123;HO M Master Product Design (post-initiele master)
70124;HO M Master of Business Administration (post-initiele master)
70125;HO M International Master of Arts Therapies (post-initiele master)
70126;HO M Master of Music (post-initiele master)
70127;HO M Sport- en Beweeginnovatie (post-initiele master)
70128;HO M Animatie (post-initiele master)
70129;HO M Professional Master in Media Innovation (post-initiele master)
70130;HO M International Communication (post-initiele master)
70131;HO M Islamitische Geestelijke Verzorging (post-initiele master)
70132;HO M Professioneel Meesterschap (post-initiele master)
70133;HO M International Leisure and Tourism Studies (post-initiele master)
70134;HO M International Hospitality and Service Management (post-initiele master)
70135;HO M SZ (post-initiele master)
70136;HO M Sportfysiotherapie (post-initiele master)
70137;HO M Rehabilitation Counselor (post-initiele master)
70138;HO M Young Professional MBA (post-initiele master)
70139;HO M Educational Leadership (post-initiele master)
70140;HO M Human Development (post-initiele master)
70141;HO M Master of Marketing (post-initiele master)
70142;HO M Master of Strategic Management (post-initiele master)
70143;HO M Industriele Innovatie (joint degree) (post-initiele master)
70144;HO M Facility and Real Estate Management (post-initiele master)
70145;HO M Leraar Humanistisch Vormingsonderwijs en Levensbeschouwing (post-initiele master)
70146;HO M Musculoskeletale Revalidatie (post-initiele master)
70147;HO M Agribusiness Development (post-initiele master)
70148;HO M Control Systems Engineering (post-initiele master)
70149;HO M Master of Crisis and Public Order Management (post-initiele master)
70150;HO M Master of Business Administration (post-initiele master)
70151;HO M Master in International Business and Management (post-initiele master)
70152;HO M Evangelical Theology (post-initiele master)
70153;HO M Information Systems Design (post-initiele master)
70154;HO M Overheidsjurist (post-initiele master)
70155;HO M Executive MBA Sport Management (post-initiele master)
70156;HO M Project, Programma & Portfolio Management (post-initiele master)
70157;HO M Business Information (post-initiele master)
70158;HO M Master Coaching (post-initiele master)
70159;HO M Human Resource Management (post-initiele master)
70160;HO M Medical Imaging / Radiation Oncology (post-initiele master)
70161;HO M Social Work & Innovation (post-initiele master)
70162;HO M European Master in Social Work (post-initiele master)
70163;HO M Bedrijfskunde Zorg en Dienstverlening (post-initiele master)
70164;HO M Master Sportfysiotherapie (post-initiele master)
70165;HO M Master Urban Management (post-initiele master)
70166;HO M Advanced Health Informatics Practice (post-initiele master)
70167;HO M Molecular Life Sciences (post-initiele master)
70168;HO M Docent Hoger Gezondheidszorg Onderwijs (post-initiele master)
70169;HO M Arbeid en Gezondheid (post-initiele master)
70170;HO M Master Revalidatie bij Patienten met Chronische Aandoeningen (post-initiele master)
70171;HO M Master of Brand, Design and Reputation Management (post-initiele master)
70172;HO M Customer Management (post-initiele master)
70173;HO M Master Legal Management (post-initiele master)
70174;HO M Master in Structural Engineering (post-initiele master)
70175;HO M Fysiotherapie (post-initiele master)
70176;HO M Master Leiderschap (post-initiele master)
70177;HO M Master of International Hospitality Management (post-initiele master)
70178;HO M Polymer Engineering (joint degree) (post-initiele master)
70179;HO M Master of Urban and Area Development (joint degree) (post-initiele master)
70180;HO M Fysiotherapie in de Geriatrie (post-initiele master)
70181;HO M Opleiding tot registerloods: Master in Maritime Piloting (post-initiele master)
70182;HO M Master of Human Resource Management (post-initiele master)
70183;HO M Innovation in Complex Care (post-initiele master)
70184;HO M Forensisch Sociale Professional (post-initiele master)
70185;HO M Physical Education and Sport Pedagogy (post-initiele master)
70186;HO M Onderwijskunde (post-initiele master)
70187;HO M Expertdocent Beroepsonderwijs (post-initiele master)
70188;HO M Logistiek & Supply Chain Management (post-initiele master)
70189;HO M Master Care and Technology (joint degree) (post-initiele master)
70190;HO M Marketingmanagement (post-initiele master)
70191;HO M Fashion Enterprise Creation (post-initiele master)
70192;HO M Master of Music Therapy (post-initiele master)
70193;HO M Toegepaste Psychologie voor Professionals (post-initiele master)
70194;HO M Bestuurskunde (post-initiele master)
70195;HO M Bedrijfsrecht (post-initiele master)
70196;HO M Innovative Dairy Chain Management (post-initiele master)
70197;HO M Master Leadership in Transition (post-initiele master)
70198;HO M Master Leiderschap in Onderwijs (post-initiele master)
70199;HO M Business Engineering (post-initiele master)
70200;HO M Master Leadership in Education (post-initiele master)
70201;HO M Master of Marketing (post-initiele master)
70202;HO M Master of ICT and Business Innovation (post-initiele master)
70203;HO M Strategy & Leadership (post-initiele master)
70204;HO M Teammaster Transitie naar Toekomstgericht Onderwijs (post-initiele master)
70205;HO M Integraal Leiderschap voor Schoolleiders (post-initiele master)
70206;HO M Master Specialized Physical Therapy (post-initiele master)
70207;HO M Cyber Security Engineering (post-initiele master)
70208;HO M Expertleerkracht Primair Onderwijs (post-initiele master)
70210;HO M Master of Strategic Management (post-initiele master)
70211;HO M Musculoskeletale Echografie voor Fysiotherapeuten (post-initiele master)
70212;HO M Master Leiderschap en Innovatie Kind en Educatie (post-initiele master)
70213;HO M Shipping and Transport (post-initiele master)
70214;HO M MBA Innovation & Leadership (post-initiele master)
70215;HO M Innovation & Leadership in Education (post-initiele master)
70216;HO M Master Kinderfysiotherapie (post-initiele master)
70217;HO M Onderwijs & Technologie (post-initiele master)
70218;HO M Global Sustainable Business Management (joint degree) (post-initiele master)
70219;HO M Master of Human Resource Management (post-initiele master)
70220;HO M Bedrijfskunde (post-initiele master)
70221;HO M Master Vitaliteit & Professionaliteit (post-initiele master)
70222;HO M Digital Forensics (post-initiele master)
70223;HO M Master of ICT and Business Innovation (post-initiele master)
70224;HO M Leading Hospitality Innovation (joint degree) (post-initiele master)
70501;MBOVerspaner (basisberoepsopleiding)
70502;MBOInstallatiemonteur werktuigkundige installaties (basisberoepsopleiding)
70503;MBOInstallatiemonteur werktuigkundige installaties (vakopleiding)
70504;MBOMachinebouwer Mechatronica (basisberoepsopleiding)
70505;MBOMachinebouwer Mechatronica (vakopleiding)
70506;MBOMachinebouwer Mechatronica (middenkaderopleiding)
70507;MBOTechnicus middenkader WEI (middenkaderopleiding)
70508;MBODistributiemonteur (basisberoepsopleiding)
70509;MBODistributiemonteur (vakopleiding)
70510;MBODistributiemonteur (middenkaderopleiding)
71001;MBOVerkoper (basisberoepsopleiding)
71002;MBOOndernemer detailhandel (middenkaderopleiding)
71501;MBODoktersassistent (middenkaderopleiding)
71502;MBOVerpleegkundige (middenkaderopleiding)
71503;MBOSport- en bewegingscoordinator (middenkaderopleiding)
71505;MBOHelpende (basisberoepsopleiding)
71506;MBOZorghulp (assistentenopleiding)
71507;MBOVerzorgende (vakopleiding)
72001;MBOTimmerkracht (basisberoepsopleiding)
72002;MBOMiddenkaderfunctionaris Bouw-Infra (middenkaderopleiding)
72502;MBOMedewerker ICT (basisberoepsopleiding)
72503;MBOMedewerker beheer ICT (vakopleiding)
72504;MBOICT-beheerder (middenkaderopleiding)
72505;MBOApplicatieontwikkelaar (middenkaderopleiding)
72506;MBONetwerkbeheerder (middenkaderopleiding)
72507;MBOAdministratief medewerker (basisberoepsopleiding)
72508;MBOSecretaresse (vakopleiding)
72509;MBOManagementassistent (middenkaderopleiding)
72510;MBOMedewerker klantcontact en sales (vakopleiding)
72511;MBOMedewerker Marketing en Communicatie (middenkaderopleiding)
72512;MBOBoekhoudkundig medewerker (vakopleiding)
72513;MBOAdministrateur (middenkaderopleiding)
73501;MBOMedewerker slagerij (basisberoepsopleiding)
74001;MBOArtiest (middenkaderopleiding)
74002;MBODTP (vakopleiding)
74003;MBOPodium- en evenemententechniek (basisberoepsopleiding)
74004;MBOPodium- en evenemententechniek (vakopleiding)
74005;MBOPodium- en evenemententechniek (middenkaderopleiding)
74006;MBOMediatechnologie (middenkaderopleiding)
74007;MBOMediamanagement (middenkaderopleiding)
74501;MBOAV-productie (basisberoepsopleiding)
74502;MBOAV-productie (vakopleiding)
74503;MBOAV-productie (middenkaderopleiding)
74504;MBOMediavormgever (middenkaderopleiding)
74505;MBOOperator (basisberoepsopleiding)
74506;MBOAllround operator (vakopleiding)
74507;MBOHoofdoperator (middenkaderopleiding)
74508;MBOChemisch-fysisch analist (middenkaderopleiding)
75000;HO M Executive Master of Science in Insurance & Risk (post-initiele master)
75001;MBOOndernemer Horeca Bakkerij (middenkaderopleiding)
75002;MBOCommercieel medewerker reizen (basisberoepsopleiding)
75003;MBOCommercieel medewerker reizen (vakopleiding)
75004;MBOVakman/vakvrouw Banketbakker (basisberoepsopleiding)
75005;MBOVakman/vakvrouw Banketbakker (vakopleiding)
75006;HO M European Master in Law and Economics (post-initiele master)
75007;HO M Environmental Science (post-initiele master)
75008;HO M Water Management and Governance (post-initiele master)
75009;HO M Urban Water and Sanitation (post-initiele master)
75010;HO M Water Science and Engineering (post-initiele master)
75011;HO M Urban Management and Development (M.Sc.) (post-initiele master)
75012;HO M Development Studies (M.A.) (post-initiele master)
75013;HO M Master of Business Administration (post-initiele master)
75014;HO M Geo-information Science and Earth Observation (post-initiele master)
75015;HO M Latijns Amerika Studies (post-initiele master)
75016;HO M International Finance (post-initiele master)
75017;HO M Business Administration (post-initiele master)
75018;HO M Master in International Management and Sustainability (post-initiele master)
75019;HO M Executive Master of Finance and Control (post-initiele master)
75020;HO M European Master in Human Rights and Democratisation (post-initiele master)
75021;HO M Advanced Master in International and European Economic Law (post-initiele master)
75022;HO M International Relations and Diplomacy (post-initiele master)
75023;HO M International Executive Master of Finance and Control (post-initiele master)
75024;HO M Advanced Studies in Air and Space Law (post-initiele master)
75025;HO M Advanced Studies in European and International Business Law (post-initiele master)
75026;HO M Advanced Studies in International Tax Law (post-initiele master)
75027;HO M Advanced Studies in Public International Law (post-initiele master)
75028;HO M Sociale Interventie (post-initiele master)
75029;HO M Amsterdam Master's in Medical Anthropology (post-initiele master)
75030;HO M Human Resource Management (post-initiele master)
75031;HO M LL.M. Arbitration and Business Law (post-initiele master)
75032;HO M Advanced Master Programme Tax Governance (post-initiele master)
75033;HO M International and European Law (post-initiele master)
75034;HO M International Human Rights and Criminal Justice (post-initiele master)
75035;HO M International Business Law and Globalisation (post-initiele master)
75036;HO M Management of Global Competitive Urban Regions: Towards a Sustainable Urban System (post-initiele master)
75037;HO M Health Professions Education (post-initiele master)
75038;HO M Public Health for Professionals (post-initiele master)
75039;HO M Environmental and Energy Management (post-initiele master)
75040;HO M Geographical Information Sciences (post-initiele master)
75041;HO M Affective Neuroscience (post-initiele master)
75042;HO M Health Sciences (post-initiele master)
75043;HO M Maritime Economics and Logistics (post-initiele master)
75044;HO M Master of Laws in European and International Taxation (post-initiele master)
75045;HO M Executive MBA (post-initiele master)
75046;HO M Global Executive MBA (post-initiele master)
75047;HO M International MBA (post-initiele master)
75048;HO M Financial Management (post-initiele master)
75049;HO M Corporate Communication (post-initiele master)
75050;HO M Hospitality Management (post-initiele master)
75051;HO M Management Consultancy (post-initiele master)
75052;HO M Business Administration MBA (post-initiele master)
75053;HO M Erasmus Mundus Master of Bioethics (post-initiele master)
75054;HO M Master in Health Sciences (post-initiele master)
75055;HO M Public Finance Management (post-initiele master)
75056;HO M Conflict and Security Law (post-initiele master)
75057;HO M Bestuurs- en Organisatiewetenschap (post-initiele master)
75058;HO M EU Law in a Global Context (post-initiele master)
75059;HO M Evidence Based Practice in Health Care (post-initiele master)
75060;HO M European Post-master in Urbanism (post-initiele master)
75061;HO M Executive Master of Accountancy (post-initiele master)
75062;HO M Veterinary Science (post-initiele master)
75063;HO M Information Management (post-initiele master)
75064;HO M Advanced Master Intellectual Property Law and Knowledge Management LL.M. (post-initiele master)
75065;HO M Advanced Master Intellectual Property Law and Knowledge Management M.Sc. (post-initiele master)
75066;HO M Master City Developer (post-initiele master)
75067;HO M Verloskunde (post-initiele master)
75068;HO M Investment Management (post-initiele master)
75069;HO M Vitality and Ageing (post-initiele master)
75070;HO M Teaching and Learning in Higher Education (post-initiele master)
75071;HO M International Master of Science in Medicine for Saudi Arabian Scholarship Students (post-initiele master)
75072;HO M Executive Master of Management and Organization (post-initiele master)
75073;HO M Executive Master in Finance (post-initiele master)
75074;HO M Executive Master of Business Valuation (post-initiele master)
75075;HO M Executive Master in Business Administration (post-initiele master)
75076;HO M Epidemiologie (post-initiele master)
75077;HO M Erasmus Mundus Master Journalism, Media and Globalisation (post-initiele master)
75078;HO M Executive Master of Public and Non-profit Management (post-initiele master)
75079;HO M Executive Master of Management in Education (post-initiele master)
75080;HO M Master of Public Information Management (post-initiele master)
75081;HO M Evidence Based Innovation in Teaching (post-initiele master)
75082;HO M Erasmus Mundus Master Journalism, Media and Globalisation (joint degree) (post-initiele master)
75083;HO M Risicomanagement (post-initiele master)
75084;HO M Master of Real Estate (post-initiele master)
75085;HO M Master of Science in Real Estate (post-initiele master)
75086;HO M Executive Master of Health Administration (post-initiele master)
75087;HO M Operations and Supply Chain Excellence (post-initiele master)
75088;HO M Executive Master of Actuarial Science (post-initiele master)
75089;HO M Advanced Epidemiology in Clinical and Genetic Research (joint degree) (post-initiele master)
75090;HO M Public Human Resource Strategy (post-initiele master)
75091;HO M Executive Master of Information Management and Digital Transformations (post-initiele master)
75092;HO M Academisch Meesterschap (post-initiele master)
75093;HO M European Master in Architecture (post-initiele master)
75094;HO M Bedrijfskunde in Deeltijd (post-initiele master)
75095;HO M Opleiding tot Wetgevingsjurist (post-initiele master)
75096;HO M LLM Finance and Law (post-initiele master)
75097;HO M European Master in Renewable Energy (post-initiele master)
75098;HO M Erasmus Mundus Master's Program in Public Policy (joint degree) (post-initiele master)
75099;HO M Executive Master of IT-Auditing (post-initiele master)
75100;HO M Docent Hoger Gezondheidszorg Onderwijs (post-initiele master)
75101;HO M International Full-Time Master of Business Administration (post-initiele master)
75102;HO M Erasmus Mundus Master of Bioethics (joint degree) (post-initiele master)
75103;HO M Executive Master in MRI Principles and Applications (post-initiele master)
75104;HO M Bedrijfskunde (post-initiele master)
75105;HO M Executive Master in Accounting and Financial Management (post-initiele master)
75106;HO M Executive Master of Real Estate (post-initiele master)
75107;HO M Fiscaal Recht (post-initiele master)
75108;HO M The Berlage Post-master in Architecture and Urban Design (post-initiele master)
75109;HO M Master of Real Estate (post-initiele master)
75110;HO M Master of Science in Real Estate (post-initiele master)
75111;HO M Executive Master of Marketing and Customer Management (post-initiele master)
75112;HO M Risk Management for Financial Institutions (post-initiele master)
75113;HO M Advanced Studies in International Civil and Commercial Law (post-initiele master)
75114;HO M Advanced Studies in European and International Human Rights Law (post-initiele master)
75115;HO M Advanced Studies in European Tax Law (post-initiele master)
75116;HO M Advanced Studies in Law and Digital Technologies (post-initiele master)
75117;HO M Actuarial Science and Mathematical Finance (post-initiele master)
75118;HO M Advanced Master in Energy Law (joint degree) (post-initiele master)
75119;HO M Veiligheidszorg, Recht en Bestuur (post-initiele master)
75120;HO M Cyber Security (post-initiele master)
75121;HO M Advanced Studies in International Children's Rights (post-initiele master)
75122;HO M International Tax Law (post-initiele master)
75123;HO M Verandermanagement (post-initiele master)
75124;HO M European Joint Master's in Strategic Border Management (joint degree) (post-initiele master)
75125;HO M Master in Managing Information and Sustainable Change (post-initiele master)
75126;HO M Kwaliteit en Veiligheid in de Patientenzorg (post-initiele master)
75127;HO M Advanced Studies in Transfer Pricing for Multinational Enterprises (post-initiele master)
75128;HO M Oral Health Sciences (joint degree) (post-initiele master)
75129;HO M IT Audit, Compliance & Advisory (post-initiele master)
75130;HO M Health Informatics (post-initiele master)
75131;HO M European Master in Law and Economics (joint degree) (post-initiele master)
75132;HO M Advanced Studies in Law and Finance (post-initiele master)
75133;HO M Customs and Supply Chain Compliance (post-initiele master)
75134;HO M Marketing (post-initiele master)
75135;HO M Commercieel Privaatrecht (post-initiele master)
75136;HO M Executive Master of Operations and Supply Chain Management (post-initiele master)
75137;HO M Executive Master of Finance and Control (post-initiele master)
75138;HO M International Executive Master of Finance and Control (post-initiele master)
75139;HO M Executive Master of Science of Internal Auditing (post-initiele master)
75140;HO M Advanced Studies in Global and European Labour Law (post-initiele master)
75141;HO M Advanced Studies in International Dispute Settlement and Arbitration (post-initiele master)
75142;HO M Executive Master Mergers & Acquisitions and Valuation (post-initiele master)
75143;HO M MaastrichtMBA (post-initiele master)
75144;HO M Sanitation (post-initiele master)
75145;HO M Executive Master in Cultural Leadership (post-initiele master)
75146;HO M Latijns Amerika Studies (post-initiele master)
75147;HO M Master of Arts in Management (post-initiele master)
75148;HO M Executive MSc Senior Docent Ontwerpen (post-initiele master)
