from;to
04431;HO Communicatiemanagement (3-jarig)
04432;HO Food & Business
04433;HO Kort HBO facilitaire dienstverlening
04435;HO Opleiding voor Management, Economie en Recht
04436;HO Logistiek en economie
04438;HO Vrijetijdsmanagement
04439;HO Rangenopleidingen
04442;HO SPD accountant administratieconsulent
04448;HO Bedrijfsmanagement
04456;HO Orientaalse talen en communicatie
04457;HO Marketing en Sales
04460;HO Marketing management (2-jarig)
04463;HO Marketing en Public Relations
04464;HO Bestuurskunde/overheidsmanagement
04469;HO Controller
04470;HO Financieel management (MBA/SPD) (3-jarig)
04471;HO Hogere opleiding theologie
04472;HO HTO Elektronicatechniek
04473;HO HTO Milieu en Cultuurtechniek
04474;HO HTO Besturingstechnologie
04475;HO HTO Technische Informatica
04476;HO HTO Technisch Chemicus
04477;HO Laborant klinische neurofysiologie
04478;HO HBO marketing
04479;HO HBO informatica
04480;HO HBO management
04481;HO Kort HBO management
04482;HO Kort HBO marketing management
04483;HO Kort HBO vertaler engels
04484;HO Accountant administratieconsulent
04485;HO Opleiding tot tolk Spaans
04486;HO Opleiding tot vertaler Spaans
04487;HO Tweedegraads lerarenopleiding Esperanto
04489;HO Opleiding tot vertaler
04490;HO Opleiding tot tolk
04493;HO AA-Dagopleiding
04496;HO Assistent-controller
04497;HO Communicatie Copywriting
04498;HO Corporate Communicatie
04499;HO Economische Bedrijfskunde
04500;HO Facility Management
04501;HO Jeugdwelzijnswerk
04503;HO Bejaardenwelzijnswerk
04505;HO Welzijnsbeleid
04506;HO Antroposofische gezondheidszorg
04508;HO Sociale zekerheidskunde
04509;HO Interne Communicatie
04510;HO Marketing Communicatie
04511;HO Milieu Management
04512;HO Onroerend Goed
04513;HO Onroerendgoed Management
04514;HO Personeelsmanagement
04515;HO Treasury Management
04516;HO Assurantie (1-jarig)
04517;HO Assurantie Management
04518;HO Marketing en Media
04519;HO Internationaal Marketing Management
04520;HO Personeel
04521;HO Internationale Marketing
04522;HO Marketing & Verkoop
04523;HO Marketing & Verkoop Management
04524;HO Administratie
04525;HO Kort HBO Toeristisch Management
04526;HO Makelaardij o.g. (2-jarig)
04528;HO Bedrijfsinformatica
04529;HO Belastingconsulent
04530;HO Kort HBO Bedrijfskunde
04531;HO Kort HBO Management
04532;HO Hoger Business Management
04533;HO Kort HBO Logist en facilitair Management
04534;HO Kort HBO Marketing en Communicatie
04535;HO Kort HBO Marketing en Sales
04536;HO Kort HBO Personeelsmanagement
04537;HO Kort HBO Hotel en Hospitality Management
04539;HO Kort HBO Beleid en Beheer Gezondheidszorg
04540;HO Kort HBO Management Gezondheidszorg
04542;HO Medisch Management
04543;HO Hogere kaderopleiding internationaal secretariaat
04544;HO HBO Vastgoed
04545;HO Bachelor financieel administratief management
04546;HO Internationale Bedrijfskunde
04547;HO Hartfunctie Laborant
04549;HO Optometrie
04550;HO Medisch a
04551;HO Medisch b
04552;HO Medische laboratoriumopleiding
04553;HO Laboratoriuminformatica en automatisering
04554;HO Longfunctie Assistent
04555;HO Kort HBO Vertaler Frans
04556;HO Kort HBO Vertaler Spaans
04557;HO Kort HBO Vertaler Duits
04558;HO Kort HBO Basisprog. Alternat. genezers
04559;HO Kort HBO Hotelmanagement
04560;HO Opleiding tot verpleegkundige
04561;HO Medisch Beeldvormende en Radiotherapeutische Technieken
04564;HO Docent t.b.v. instell.gez.zorg
04565;HO Opleiding tot verpleegkundige in de maatschappelijke gezondheidszorg
04567;HO Opleiding van Kader in de Gezondheidszorg
04568;HO Opleiding tot leraar voortgezet onderwijs van de tweede graad in verpleegkunde
04570;HO Opleiding tot fysiotherapeut
04571;HO Opleiding oefentherapie cesar
04572;HO Opleiding tot oefentherapeut-Mensendieck
04574;HO Opleiding voor ergotherapie
04575;HO Verloskundige
04576;HO Opleiding Mondhygiene
04577;HO Opleiding tot orthoptist
04578;HO Opleiding voor logopedie
04579;HO Voeding en dietetiek
04581;HO Opleiding Podotherapie
04582;HO Voortgezette opleiding in de gezondheidszorg voor management
04583;HO Voortgezette opleiding in de gezondheidszorg voor beroepsinnov.
04584;HO Bewegingstechnologie
04585;HO Opleiding bewegingsagogie/psychomotorische therapie
04586;HO Prop.verpleegkunde/paramedish
04588;HO Kort HBO Toeristisch Management en Evenementenorganisatie
04589;HO Kort HBO Business and Communication
04590;HO Opleiding Vertaler Frans
04593;HO Opleiding Vertaler Engels
04596;HO Informatica technologie
04598;HO Music-Management
04599;HO Sport-Management
04600;HO Hoger Pedag en Sociaal - Agog. Onderwijs
04601;HO Export, international trade and marketing
04602;HO Internationaal Management
04603;HO Commerciele communicatie
04606;HO Personenvervoer en Verkeer
04607;HO Fiscale/Juridische/Economische Zaken
04609;HO Personeel en arbeid
04610;HO Culturele en maatschappelijke vorming
04611;HO Personeelswerk
04612;HO Maatschappelijk werk
04613;HO Inrichtingswerk
04614;HO Cultureel werk
04615;HO Opbouwwerk
04616;HO Maatschappelijk werk en dienstverlening
04617;HO Sociaal pedagogische hulpverlening
04641;HO Sociaal-juridische dienstverlening
04642;HO Creatieve therapie (voor conversie hsao)
04643;HO Creatief-educatief werk
04644;HO Creatieve therapie
04646;HO Management voor ondernemerschap
04647;HO Secretary Management Support
04648;HO Financiele Dienstverlening
04649;HO Informatiedienstverlening en -management
04650;HO Assistent bibliothecaris
04651;HO Bibliothecaris in openbare bib
04652;HO Bibliothecaris-documentalist
04653;HO Schoolbibliothecaris
04654;HO Jeugdbibliothecaris
04655;HO Muziekbibliothecaris-discothecaris
04656;HO Functionaris in wetenschappelijke bibliotheken
04657;HO Boekhandel en uitgeverij
04659;HO Bedrijfseconomie en Administratie
04660;HO Propedeutisch jaar muziek
04661;HO Transport en Beleid
04662;HO International General Management
04663;HO Internationaal Transport en Economie
04664;HO Bedrijfsinformatie management
04665;HO Mode en management
04666;HO Hogere informatie management
04667;HO InterCollege Management School (3-jarig)
04668;HO Hogere management (4jr)
04669;HO Informatiemanagement
04670;HO HBO Logistieke Informatica
04671;HO HBO Informatie en communicatie technologie
04672;HO HBO Vervoerskundige Informatica
04673;HO Radiologisch Laborant
04674;HO Fiscaal Economisch Management
04675;HO HBO Financiele Planning
04676;HO Theorie der muziek
04677;HO Economisch Juridisch Management
04678;HO Algemene industriele vormgeving
04679;HO Architectonische vormgeving
04680;HO Kaderopleiding opbouwwerk
04681;HO Voortgezette agogische beroepsopleiding
04682;HO Hogere beroepsopleiding psychosynthese
04683;HO Modevormgeving
04684;HO Economisch-linguistisch
04685;HO Geestelijk raadswerk
04686;HO Journalistiek
04690;HO Maatschappelijk werk (hbo-mw)
04691;HO Expressie door woord en gebaar
04692;HO Journalistiek en voorlichting
04693;HO Beroepskeuzewerk
04694;HO Arbeidsvoorziening
04696;HO Arbeidsmarktpolitiek/personeelsbeleid (hbo-ap/pb)
04697;HO Propedeuse hsao
04698;HO Expressie door woord en gebaar
04699;HO Beeldende kunst en vormgeving
04700;HO Academie opleiding
04701;HO Tekenen
04702;HO Schilderen
04703;HO Beeldhouwen
04704;HO Foto-/grafische media
04705;HO Monumentale kunst
04706;HO Visuele communicatie
04707;HO Vormgeving in metalen en kunststoffen
04708;HO Textiele vormgeving
04710;HO Beeldende kunsten
04711;HO Propedeusejaar beeldende kunst
04712;HO Algemene industriele vormgeving
04713;HO Kunst en techniek (cognitief ergonomisch ontwerpen/interaction design)
04714;HO MFA Interactive Media and environments
04715;HO Plastische vormgeving
04716;HO Architectonische vormgeving
04717;HO Fotografie/film vormgeving
04718;HO Voortgezette opleiding fotografische vormgeving
04719;HO Keramische vormgeving
04720;HO Modevormgeving
04721;HO Monumentale vormgeving
04722;HO Plastische vormgeving
04723;HO Publiciteits- c.q. grafische vormgeving
04724;HO Schilderkundige vormgeving en vormg. op gebied van grafiek
04725;HO Textiele vormgeving
04726;HO Vormgeving in metalen en kunststoffen
04727;HO Vrije vormgeving (vervolgopleiding)
04728;HO Monumentale vormgeving
04729;HO Vrije studierichting kunstonderwijs
04733;HO Film en Televisie
04734;HO Film en t.v. (tweede fase-opleiding)
04735;HO Museologie
04736;HO Vrije studierichting kunstonderwijs
04738;HO Restaurator
04739;HO Muziek
04740;HO Vooropleiding muziek
04741;HO Uitvoerende beoefening van het drama
04742;HO Eurythmie
04743;HO Uitvoerende beoefening van de kleinkunst
04744;HO Uitvoerende beoefening van de mime
04745;HO Docent Drama
04748;HO Opleiding voor het praktijkdiploma kerkmuziek
04749;HO Vrije vormgeving (tweede fase-opleiding)
04750;HO Uitv. kunst./docent mime
04752;HO Propedeutisch jaar dans en theater
04754;HO Directie koor, orkest, of harmonie en fanfare
04756;HO Fotografische vormgeving (tweede fase-opleiding)
